augment_name,augment_type,usage_count,avg_position,avg_odds,win_count,nakamoto_count,szabo_count,finney_count,buterin_count,nakamoto_wins,szabo_wins,finney_wins,buterin_wins,win_rate,win_rate_nakamoto,win_rate_szabo,win_rate_finney,win_rate_buterin
GX-Core H,HYDRAULIC,3772,4.42,15.21,519,407,779,1093,1492,69,136,123,191,13.76,16.95,17.46,11.25,12.8
GX-Core R,RAM,2757,4.32,13.03,348,240,527,921,1069,37,84,105,122,12.62,15.42,15.94,11.4,11.41
Crimson C,CPU,2747,4.51,15.0,350,300,555,842,1047,48,92,72,137,12.74,16.0,16.58,8.55,13.09
Midnight 100H,HYDRAULIC,2674,4.35,12.07,342,217,513,899,1043,39,72,117,113,12.79,17.97,14.04,13.01,10.83
Darklight 100C,CPU,2568,4.43,14.68,346,355,600,673,940,59,97,68,122,13.47,16.62,16.17,10.1,12.98
Crimson R,RAM,2509,4.37,13.73,393,366,555,618,969,68,91,86,148,15.66,18.58,16.4,13.92,15.27
Midnight 100R,RAM,2242,4.7,16.83,248,156,402,701,982,23,53,60,111,11.06,14.74,13.18,8.56,11.3
GX-Core C,CPU,2223,4.36,13.59,291,113,325,776,1009,21,43,122,105,13.09,18.58,13.23,15.72,10.41
Crimson H,HYDRAULIC,1271,4.72,16.17,128,118,248,363,542,17,33,24,54,10.07,14.41,13.31,6.61,9.96
Darklight 100R,RAM,1258,4.62,15.69,138,126,241,375,515,18,28,44,48,10.97,14.29,11.62,11.73,9.32
Midnight 100C,CPU,1218,4.54,15.59,148,116,229,325,548,18,31,38,61,12.15,15.52,13.54,11.69,11.13
Void C100,CPU,1154,4.83,17.42,106,81,242,357,474,12,23,27,44,9.19,14.81,9.5,7.56,9.28
Darklight 100H,HYDRAULIC,1150,4.62,16.45,144,122,237,336,455,24,25,29,66,12.52,19.67,10.55,8.63,14.51
Void R100,RAM,1143,4.65,17.74,114,77,225,358,483,12,30,32,40,9.97,15.58,13.33,8.94,8.28
Void H100,HYDRAULIC,1037,4.74,18.38,106,99,174,278,486,9,20,33,44,10.22,9.09,11.49,11.87,9.05
